100 100 #Width Height 
200  # Generations 
0 1  Live Cell 
0 15  Live Cell 
0 18  Live Cell 
0 19  Live Cell 
0 21  Live Cell 
0 47  Live Cell 
0 51  Live Cell 
0 52  Live Cell 
0 57  Live Cell 
0 58  Live Cell 
0 59  Live Cell 
0 60  Live Cell 
0 63  Live Cell 
0 67  Live Cell 
0 70  Live Cell 
0 77  Live Cell 
0 80  Live Cell 
0 84  Live Cell 
0 87  Live Cell 
0 90  Live Cell 
0 95  Live Cell 
1 6  Live Cell 
1 8  Live Cell 
1 14  Live Cell 
1 15  Live Cell 
1 16  Live Cell 
1 28  Live Cell 
1 31  Live Cell 
1 34  Live Cell 
1 45  Live Cell 
1 47  Live Cell 
1 48  Live Cell 
1 49  Live Cell 
1 52  Live Cell 
1 54  Live Cell 
1 63  Live Cell 
1 66  Live Cell 
1 68  Live Cell 
1 72  Live Cell 
1 78  Live Cell 
1 90  Live Cell 
2 3  Live Cell 
2 5  Live Cell 
2 6  Live Cell 
2 15  Live Cell 
2 16  Live Cell 
2 24  Live Cell 
2 27  Live Cell 
2 30  Live Cell 
2 32  Live Cell 
2 33  Live Cell 
2 35  Live Cell 
2 48  Live Cell 
2 55  Live Cell 
2 57  Live Cell 
2 72  Live Cell 
2 77  Live Cell 
2 78  Live Cell 
2 86  Live Cell 
2 89  Live Cell 
2 97  Live Cell 
3 11  Live Cell 
3 12  Live Cell 
3 13  Live Cell 
3 15  Live Cell 
3 16  Live Cell 
3 23  Live Cell 
3 27  Live Cell 
3 36  Live Cell 
3 57  Live Cell 
3 62  Live Cell 
3 65  Live Cell 
3 71  Live Cell 
3 78  Live Cell 
3 79  Live Cell 
3 80  Live Cell 
3 92  Live Cell 
4 0  Live Cell 
4 3  Live Cell 
4 14  Live Cell 
4 24  Live Cell 
4 25  Live Cell 
4 29  Live Cell 
4 32  Live Cell 
4 48  Live Cell 
4 53  Live Cell 
4 57  Live Cell 
4 67  Live Cell 
4 73  Live Cell 
4 74  Live Cell 
4 76  Live Cell 
4 81  Live Cell 
4 82  Live Cell 
4 85  Live Cell 
4 90  Live Cell 
4 96  Live Cell 
5 4  Live Cell 
5 7  Live Cell 
5 11  Live Cell 
5 12  Live Cell 
5 18  Live Cell 
5 20  Live Cell 
5 23  Live Cell 
5 28  Live Cell 
5 29  Live Cell 
5 36  Live Cell 
5 38  Live Cell 
5 49  Live Cell 
5 51  Live Cell 
5 54  Live Cell 
5 60  Live Cell 
5 70  Live Cell 
5 73  Live Cell 
5 80  Live Cell 
5 85  Live Cell 
5 87  Live Cell 
5 89  Live Cell 
5 90  Live Cell 
5 94  Live Cell 
5 96  Live Cell 
6 1  Live Cell 
6 13  Live Cell 
6 15  Live Cell 
6 16  Live Cell 
6 17  Live Cell 
6 22  Live Cell 
6 23  Live Cell 
6 28  Live Cell 
6 35  Live Cell 
6 40  Live Cell 
6 41  Live Cell 
6 44  Live Cell 
6 49  Live Cell 
6 50  Live Cell 
6 60  Live Cell 
6 62  Live Cell 
6 75  Live Cell 
6 78  Live Cell 
6 84  Live Cell 
6 96  Live Cell 
6 97  Live Cell 
7 0  Live Cell 
7 8  Live Cell 
7 12  Live Cell 
7 37  Live Cell 
7 38  Live Cell 
7 42  Live Cell 
7 57  Live Cell 
7 59  Live Cell 
7 61  Live Cell 
7 62  Live Cell 
7 69  Live Cell 
7 74  Live Cell 
7 78  Live Cell 
7 82  Live Cell 
7 88  Live Cell 
7 91  Live Cell 
7 96  Live Cell 
8 0  Live Cell 
8 41  Live Cell 
8 48  Live Cell 
8 56  Live Cell 
8 63  Live Cell 
8 65  Live Cell 
8 70  Live Cell 
8 80  Live Cell 
8 83  Live Cell 
8 85  Live Cell 
8 86  Live Cell 
8 94  Live Cell 
9 2  Live Cell 
9 7  Live Cell 
9 12  Live Cell 
9 13  Live Cell 
9 19  Live Cell 
9 23  Live Cell 
9 26  Live Cell 
9 27  Live Cell 
9 32  Live Cell 
9 36  Live Cell 
9 37  Live Cell 
9 45  Live Cell 
9 52  Live Cell 
9 53  Live Cell 
9 54  Live Cell 
9 55  Live Cell 
9 59  Live Cell 
9 68  Live Cell 
9 71  Live Cell 
9 72  Live Cell 
9 75  Live Cell 
9 77  Live Cell 
9 86  Live Cell 
9 88  Live Cell 
9 97  Live Cell 
9 98  Live Cell 
10 0  Live Cell 
10 2  Live Cell 
10 3  Live Cell 
10 4  Live Cell 
10 13  Live Cell 
10 17  Live Cell 
10 20  Live Cell 
10 24  Live Cell 
10 29  Live Cell 
10 32  Live Cell 
10 45  Live Cell 
10 48  Live Cell 
10 49  Live Cell 
10 52  Live Cell 
10 60  Live Cell 
10 65  Live Cell 
10 76  Live Cell 
10 84  Live Cell 
10 89  Live Cell 
11 5  Live Cell 
11 8  Live Cell 
11 27  Live Cell 
11 34  Live Cell 
11 41  Live Cell 
11 42  Live Cell 
11 45  Live Cell 
11 46  Live Cell 
11 51  Live Cell 
11 52  Live Cell 
11 53  Live Cell 
11 57  Live Cell 
11 63  Live Cell 
11 64  Live Cell 
11 69  Live Cell 
11 71  Live Cell 
11 80  Live Cell 
11 86  Live Cell 
11 89  Live Cell 
11 94  Live Cell 
12 3  Live Cell 
12 6  Live Cell 
12 8  Live Cell 
12 15  Live Cell 
12 16  Live Cell 
12 21  Live Cell 
12 26  Live Cell 
12 32  Live Cell 
12 34  Live Cell 
12 37  Live Cell 
12 51  Live Cell 
12 55  Live Cell 
12 63  Live Cell 
12 68  Live Cell 
12 88  Live Cell 
12 97  Live Cell 
13 0  Live Cell 
13 1  Live Cell 
13 2  Live Cell 
13 10  Live Cell 
13 30  Live Cell 
13 38  Live Cell 
13 39  Live Cell 
13 44  Live Cell 
13 48  Live Cell 
13 62  Live Cell 
13 68  Live Cell 
13 73  Live Cell 
13 78  Live Cell 
13 79  Live Cell 
13 84  Live Cell 
13 96  Live Cell 
13 98  Live Cell 
14 4  Live Cell 
14 5  Live Cell 
14 11  Live Cell 
14 20  Live Cell 
14 29  Live Cell 
14 44  Live Cell 
14 54  Live Cell 
14 56  Live Cell 
14 58  Live Cell 
14 62  Live Cell 
14 63  Live Cell 
14 72  Live Cell 
14 73  Live Cell 
14 82  Live Cell 
14 93  Live Cell 
14 94  Live Cell 
15 4  Live Cell 
15 6  Live Cell 
15 9  Live Cell 
15 12  Live Cell 
15 19  Live Cell 
15 28  Live Cell 
15 32  Live Cell 
15 43  Live Cell 
15 44  Live Cell 
15 47  Live Cell 
15 56  Live Cell 
15 58  Live Cell 
15 59  Live Cell 
15 60  Live Cell 
15 68  Live Cell 
15 72  Live Cell 
15 81  Live Cell 
15 91  Live Cell 
15 94  Live Cell 
15 97  Live Cell 
16 12  Live Cell 
16 19  Live Cell 
16 20  Live Cell 
16 24  Live Cell 
16 25  Live Cell 
16 28  Live Cell 
16 29  Live Cell 
16 32  Live Cell 
16 33  Live Cell 
16 39  Live Cell 
16 43  Live Cell 
16 47  Live Cell 
16 48  Live Cell 
16 55  Live Cell 
16 60  Live Cell 
16 61  Live Cell 
16 64  Live Cell 
16 65  Live Cell 
16 67  Live Cell 
16 78  Live Cell 
16 94  Live Cell 
17 6  Live Cell 
17 7  Live Cell 
17 11  Live Cell 
17 17  Live Cell 
17 18  Live Cell 
17 21  Live Cell 
17 25  Live Cell 
17 26  Live Cell 
17 29  Live Cell 
17 39  Live Cell 
17 45  Live Cell 
17 55  Live Cell 
17 60  Live Cell 
17 69  Live Cell 
17 72  Live Cell 
17 77  Live Cell 
17 79  Live Cell 
17 82  Live Cell 
17 93  Live Cell 
